问题发生时间,平台名称,所在地区,上线时间,出问题原因,url,注册资本,法人,风险暴露时间,注册人数,筹集资金,待收金额,现状
2017/2/14,中投信和,北京市海淀区,--,平台失联,https://www.p2peye.com/thread-948442-1-1.html,10000万元 人民币,张善军,2017年1月30日,不详,不详,不详,网站无法访问
2017/2/16,佰老汇金融,湖北省武汉市,2015/11/11,平台失联,https://www.p2peye.com/thread-949369-1-1.html,3000万元人民币,尹红进,不详,不详,不详,不详,网站无法访问
2017/3/1,七安贷,广东省深圳市,2015/12/31,良性退出,https://www.p2peye.com/thread-955615-1-1.html,10000万元人民币,游越辉,不详,不详,不详,不详,发布停业转型公告
2017/3/14,悦丞财富,广东省深圳市,--,,https://www.p2peye.com/thread-961809-1-1.html,30000万元人民币,李宝龙,2017年3月10日,不详,不详,不详,网站无法访问，页面显示升级改版
2017/3/2,增值e,广东省深圳市,2015/3/18,,https://www.p2peye.com/thread-956202-1-1.html,"1000万元人民币
",张振,不详,不详,不详,不详,网站无法访问
2017/3/7,上金所,北京市海淀区,--,平台失联,https://www.p2peye.com/thread-958207-1-1.html,"2235.4万元人民币
",吴永峰,2017年3月7日,不详,不详,不详,网站无法访问
2017/3/9,易锦圆通,北京市朝阳区,--,平台失联,https://www.p2peye.com/thread-959512-1-1.html,5000万元人民币,王健,2017年2月22日,不详,不详,不详,网站无法访问
2017/2/14,财帮易贷,陕西省西安市,2014/7/25,平台失联,https://www.p2peye.com/thread-948459-1-1.html,3000万元人民币,王新龙,不详,不详,不详,不详,网站无法访问
2017/3/9,壹富宝,广东省珠海市,--,平台失联,https://www.p2peye.com/thread-959513-1-1.html,9000万元人民币,范裕民,2016年12月12日,不详,不详,不详,网站无法访问
2017/2/9,景腾金融,浙江省杭州市,2016/12/26,平台失联,https://www.p2peye.com/thread-932899-1-1.html,5000万元 人民币,陈林,"2017年02月08日
",1502人,2068000.00元,717311.65元,"发布退出P2P公告
"
