岗位名称	链接	公司	类型	地点	薪水/天	每周最少实习天数	最短实习月份
数据分析与挖掘	/intern/inn_haz03zdprlgu	T?r????睿信科	咨询/顾问	全国	120-200/天	4天/周	3个月
商业数据分析专员	/intern/inn_umjidumbxfdt	凤凰金融	数据库	北京	107-150/天	5天/周	3个月
数据分析实习	/intern/inn_1a2gefmxb5pm	新美?通	软件	北京	147-200/天	4天/周	8个月
数据分析实习	/intern/inn_rs2m7pr9xm1f	网易	软件	北京	200-220/天	5天/周	6个月
数据分析实习	/intern/inn_ni3gjj9tgirt	威士伯涂料	客服	佛山	100-150/天	5天/周	6个月
数据分析实习	/intern/inn_omtiq0qnj9ug	滴滴	数据挖掘	北京	200-250/天	4天/周	6个月
数据分析实习	/intern/inn_mblcdcyadvqr	新美?通	软件	北京	200-300/天	4天/周	8个月
数据分析实习	/intern/inn_zps7cc50anen	芒果T?	运营	长沙	1-2/天	5天/周	5个月
数据分析实习	/intern/inn_egf02vtwu8sb	立信股份	分析/调研	重庆	70-100/天	5天/周	4个月
数据分析实习	/intern/inn_bdpxfu3ynpdv	图特科技	软件	杭州	100-130/天	5天/周	5个月
?数据分析专员	/intern/inn_jc7pjbgwp5x1	海康威视	运营	杭州	100-120/天	4天/周	6个月
数据分析实习	/intern/inn_gwlhmv3kujqd	滴滴出行	云计算/大数据	北京	200-250/天	4天/周	6个月
助理数据分析师	/intern/inn_iikxix4cdhhn	??比客	算法	"深圳,"	150-200/天	5天/周	3个月
数据分析实习	/intern/inn_t9advolhwe5p	东峡大通(北京)管理咨询有限公司	其他类型	北京	120-170/天	4天/周	5个月
数据分析实习	/intern/inn_1g50thgdfex4	平安科技	软件	上海	200-300/天	5天/周	4个月
助理数据分析师	/intern/inn_au6gmolhs437	科教育	咨询	上海	100-140/天	2天/周	3个月
数据分析实习	/intern/inn_bljj6nco8td5	李宁（中国）体育用品	分析/调研	北京	100-120/天	5天/周	6个月
数据分析实习	/intern/inn_90kgfsuevaqy	飞利浦	光电	上海	112-128/天	3天/周	5个月
